"crypti_acotar" "crypti_crapet" "crypti_cubdis" "crypti_demcor" "crypti_echrel" "crypti_javsp." "crypti_litnoh" "crypti_manbak" "crypti_notinc" "crypti_oretsu" "crypti_parple" "crypti_plasp." "crypti_pledig" "crypti_polpal" "crypti_stopic" "phygad_anumin" "phygad_brabra" "phygad_bratem" "phygad_epeano" "phygad_forbid" "phygad_gracil" "phygad_hyphex" "phygad_lislae" "phygad_oeccus" "phygad_plehun" "phygad_rhasig" "crypti_rhequa" "phygad_stigag" "phygad_trazon" "phygad_vesmaj" "crypti_apopra" "crypti_apshir" "crypti_artfor" "ateleu_atetsi" "crypti_bicver" "crypti_coeful" "crypti_crespi" "crypti_cryban" "crypti_dicsp." "crypti_melsp." "crypti_necsp." "crypti_odospi" "crypti_parsap" "crypti_picmel" "crypti_steaxi" "crypti_steins" "crypti_iscinq" "crypti_aptfla" "crypti_agrsp." "crypti_arifug" "crypti_bartex" "crypti_caeshi" "crypti_calhok" "crypti_cercur" "crypti_chlcoe" "crypti_cocnob" "crypti_dipate" "crypti_dotbel" "crypti_gaminc" "crypti_hidnig" "crypti_idiana" "crypti_joprub" "crypti_lamsp." "crypti_leptub" "crypti_meslig" "crypti_picwil" "crypti_pycfre" "crypti_whytri" "crypti_colruf" "crypti_girgyr" "crypti_hemfas" "crypti_lisspa" "crypti_megmon" "crypti_oxybar" "crypti_plebas" "crypti_rhypen" "crypti_schgra" "phygad_uchmar" "phygad_amypul" "phygad_apotru" "phygad_chithy" "phygad_diapro" "phygad_endsub" "phygad_eudsp." "phygad_gabdes" "phygad_gnoten" "phygad_hembip" "phygad_isdlyc" "phygad_liesp." "phygad_odoacu" "phygad_parfas" "phygad_retsp." "phygad_stidec" "phygad_teldec" "phygad_acrnig" "crypti_acrsty" "phygad_agaswe" "phygad_atrbic" "phygad_dialav" "phygad_diccra" "phygad_ethsyr" "phygad_lysman" "phygad_meslae" "crypti_mestra" "crypti_nemfor" "crypti_sphves" "crypti_thrleu" "phygad_xenbit" "meansp_fossil" "ichneu_ambarm" "ichneu_cercor" "ichneu_clythy" "ichneu_comver" "ichneu_cotdir" "ichneu_crauni" "ichneu_ctesch" "ichneu_eccbre" "ichneu_eurtor" "ichneu_goealb" "ichneu_hymnig" "ichneu_ichext" "ichneu_isclut" "ichneu_lisnyc" "ichneu_oedvar" "ichneu_psepra" "phygad_isaini" "phygad_mastru" "phygad_micten" "phygad_neoden" "phygad_thanee" "phygad_zoolar"
"crypti_acotar" 0 0.0918930151298474 0.0628881574142439 0.108828616775333 0.161705487625335 0.0761714937712835 0.108747756849865 0.142321201253127 0.123905288799332 0.0578938339527169 0.0718754385758561 0.0889047363727817 0.0498959736086012 0.0610972059900821 0.137941289412143 0.184445061772973 0.0876849842467998 0.143594083518129 0.119126347305109 0.128654610051833 0.159922187803198 0.137177115562731 0.142432967148227 0.0940657783699948 0.122749865910681 0.135880270330157 0.078944169560504 0.139239274062476 0.137190891200828 0.140003556079993 0.146620482840329 0.0608433285851062 0.130644114418644 0.121245524724875 0.0836806909188172 0.134830121260493 0.152772106935555 0.135075095639907 0.147243975735674 0.128986408270383 0.138134395796371 0.144318156348282 0.140399360794756 0.130018033775542 0.140754090396048 0.166681915742303 0.108677196114553 0.0718790933438988 0.0999126257869254 0.106988792633705 0.118058040576914 0.099562184049817 0.162421868128693 0.143879251301549 0.145104795809441 0.169467203454936 0.125719337228774 0.13349782959793 0.104435583661023 0.101859366438989 0.124368036446623 0.137132166025906 0.123674420800399 0.117844431767976 0.13023866963008 0.0997912037991832 0.0739440048323964 0.140524351930875 0.0637905735662703 0.0777483913614472 0.164155484698776 0.0531835315700157 0.0961690486643854 0.0758824192858162 0.0850074822277388 0.0580347251829828 0.0837414291173278 0.131282369665314 0.0890531933915377 0.107039120478339 0.108456153592611 0.144057282016844 0.080304744372928 0.127225725068937 0.131412050440804 0.110795400112356 0.134186185977899 0.120650735896373 0.135348169309742 0.139760757109653 0.158943861656282 0.165607089176572 0.109790550751692 0.143486102707283 0.133114024556024 0.138932321249611 0.118592130169927 0.113864423090251 0.134257069965331 0.137920905263894 0.110538861379443 0.146482199876306 0.125397789521618 0.122556894333303 0.146651833418629 0.11791376384732 0.124152251151311 0.121458418567095 0.190103891355609 0.105630713034672 0.140380578887525 0.10363702558028 0.128742108888476 0.104872904192372 0.0833541984626169 0.107301221269425 0.117363117029139 0.138209237283243 0.157367311383745 0.108757554994035 0.103100646271324 0.128651262570981 0.126562966783725 0.168840882977445 0.0845300845967692 0.19536079023803 0.14783151157482 0.163475379449509 0.15328496476601 0.162157524756851 0.141361692510497
"crypti_crapet" 0.0918930151298474 0 0.08108342431785 0.13990685618201 0.110718355434118 0.0609071122876687 0.0633160140471894 0.0982858460393113 0.13315535654719 0.10130680264968 0.0632012561641938 0.0673527379091037 0.0725981741453747 0.0782823871987236 0.0759234360540558 0.201395433049403 0.114985520626355 0.1390987997756 0.122050624060667 0.102312619452324 0.17553082598426 0.1391946254756 0.123058475890456 0.112167505724087 0.132139600494945 0.140360371912485 0.0788169554958839 0.126206523266513 0.146867011465043 0.133419151698689 0.0949767356487228 0.0877125492364149 0.0828071752177103 0.0795146581160245 0.0682478990395082 0.0820875824437906 0.0851274951913613 0.0849992601888492 0.105344304988887 0.0749121065093894 0.0980239955169002 0.0787665771977242 0.0906029681825404 0.0948783391266075 0.08121416683289 0.124268238753079 0.0713998465097616 0.102131341182233 0.0625187027949113 0.0748968540753068 0.0788949472190602 0.0769505185782414 0.110679191240403 0.106397693409319 0.105419417122784 0.122715513585736 0.105686916881226 0.0995891969599171 0.0754344022359211 0.0855006129375417 0.0853146393917804 0.0973255467835928 0.0996916106251888 0.10120728987831 0.0690500500744195 0.121123250633697 0.0932545283034849 0.0897639356746875 0.0905235326129922 0.0631011894444957 0.138111229880277 0.110914171417447 0.0732226245201103 0.107242522755637 0.11477990783483 0.107277538049199 0.0998332024956008 0.124674606686451 0.0954875733665146 0.105191608372466 0.0870276015515745 0.175646133757191 0.113736268442835 0.142623798645645 0.119006100273829 0.111344353444283 0.168044644540952 0.148244358884844 0.101223854986819 0.101972056552366 0.133076384329197 0.154366726338177 0.126873484417723 0.140020152575837 0.133999951799835 0.0987489624435023 0.143906148485642 0.109168037947981 0.144952198003587 0.157145181354388 0.119693354868917 0.150258718738152 0.102000571824173 0.113456576088201 0.115884304150856 0.104383178745158 0.0706987369133218 0.1351500516616 0.184604382222246 0.116127928080747 0.105294641536905 0.105457186283954 0.118561358973522 0.123668997472466 0.114548664894451 0.079086798573585 0.117081002885903 0.135407294326952 0.133731293674124 0.10719583296275 0.111782428902118 0.116297822768833 0.13172391896882 0.121753315317534 0.108920948024819 0.199123891920675 0.173470807614189 0.151595183232932 0.138454274111645 0.164321047727277 0.146231051925281
"crypti_cubdis" 0.0628881574142439 0.08108342431785 0 0.116072125399714 0.13103395543087 0.0817208655777002 0.0940368137537775 0.126433382080119 0.139266388415004 0.0746031228729667 0.0684720332094405 0.0792483385349501 0.0592966675704773 0.0573596644776124 0.113343552202724 0.187835248909607 0.108356522464911 0.145831597369612 0.12053110165969 0.117078204163397 0.171721069043436 0.130230345180686 0.135367681040836 0.108129426079392 0.124695593811293 0.139737566005249 0.0795620401170127 0.132247345078242 0.142562275622457 0.135094263516764 0.119294262529132 0.0739900231848564 0.103788227459592 0.0950047097216089 0.082725627461306 0.117626356896151 0.130804252011532 0.1159405847534 0.11828079866952 0.1188591987059 0.110297486131427 0.118246709796452 0.115750170272958 0.102882901981717 0.114579693430218 0.140964016800618 0.0975474077497498 0.098428984935529 0.0921867785688912 0.09074048177367 0.109555573918391 0.0852747439165252 0.135974892288056 0.127807024870135 0.127628750175779 0.151340016499429 0.108395469186067 0.115841240289881 0.0974289597835888 0.110292758858491 0.112364623675908 0.132550656618985 0.108328886060157 0.101490267602143 0.11103835848213 0.123467851562653 0.082150202095773 0.130860633545817 0.0872309707723271 0.0690539698995104 0.144006006381069 0.0875183583157153 0.0959143015185577 0.100543956195404 0.104977370174936 0.0732831461443772 0.0844137358374414 0.13271928838399 0.0856869682972743 0.10856564389202 0.103488198660784 0.146578313868172 0.100199172100748 0.140577711545236 0.127611555738224 0.107986200186134 0.147978217719794 0.127915530916037 0.132922491145552 0.12746697884023 0.153077700499898 0.161942157450948 0.118268442181211 0.141080819707269 0.138582227218559 0.12216122015305 0.120393750326529 0.113935266352149 0.140950661997264 0.146402891323416 0.116298919819376 0.14502330547816 0.112711002087995 0.11227447339826 0.118083647863584 0.109190374460136 0.105996668301472 0.13473526853998 0.192782854259575 0.116405896249426 0.122868087935252 0.111526193125291 0.126460701631066 0.122777047541627 0.0938062320663886 0.104735573010508 0.131924668420161 0.132673362779314 0.144927005255734 0.105332237577409 0.11333790638744 0.117373898973688 0.12744818807909 0.14962079792369 0.0820047845112653 0.186402351258339 0.151966122560376 0.158744947166241 0.143502411851541 0.165322898075668 0.135349513282564
"crypti_demcor" 0.108828616775333 0.13990685618201 0.116072125399714 0 0.214295494929525 0.150916806894474 0.165020752313903 0.194080801167413 0.117766235343206 0.106528229140433 0.120250246557969 0.118475645826957 0.11686795081479 0.118149168406289 0.173917035274824 0.151096894584148 0.100266921970832 0.136011680440372 0.117329212125015 0.173487865421531 0.122094204136519 0.11373973330893 0.192260549557882 0.140234120847553 0.128079903010952 0.114333940585109 0.105244999426406 0.12885529614043 0.143110863001653 0.153486401649304 0.200126014343242 0.141132843919143 0.174207888263647 0.174916026531738 0.142013697251899 0.18302698367721 0.196398612726102 0.179814167722815 0.184260141969237 0.176292924500849 0.184335387065175 0.195957686449879 0.193905530492701 0.165736835337687 0.183047074378312 0.222941805661688 0.1505198560067 0.10658981483982 0.139411009477321 0.167592600379299 0.158662850811027 0.160379672620928 0.193155843729194 0.177333751601793 0.182128493191118 0.191349420583731 0.123859600980762 0.201117498764407 0.148300362559392 0.138844976220549 0.151672287012658 0.154271864374128 0.158920969543472 0.157225786712986 0.169790126371658 0.130929644097308 0.115064695220761 0.178009075613844 0.09989517249086 0.132686664970356 0.152323017363108 0.0995409204490097 0.152586320762745 0.108276152801876 0.0910434621791866 0.0802256245129817 0.111044739157103 0.155749409827231 0.131219827233186 0.113997452803657 0.129737992754517 0.105014749172451 0.0917516702754302 0.110762854243224 0.155051470824912 0.12895121462656 0.0883753787648427 0.125007061744599 0.188772516031905 0.187192535916402 0.185391544161131 0.165072027431962 0.10980263632358 0.175898805789296 0.161533647952266 0.178709235026376 0.147717010443004 0.135033031706759 0.143326676670905 0.113228997925398 0.0793258990810249 0.118579980570425 0.128307117559741 0.155302519209554 0.205679127005432 0.123018859669085 0.173311705193825 0.0913480994846569 0.169827035887714 0.167204719315522 0.196707735725372 0.116154231677517 0.177728464703241 0.162555615170112 0.127350798998595 0.166862439919427 0.176989387725428 0.179358026758565 0.195848737746621 0.156388950074134 0.155045488196265 0.189703348420569 0.129092433956635 0.210177964574763 0.161357026766208 0.16542600537848 0.128816658942105 0.160178881479232 0.162258044014577 0.154257754202294 0.129456310255035
"crypti_echrel" 0.161705487625335 0.110718355434118 0.13103395543087 0.214295494929525 0 0.134903350740296 0.106500047241507 0.117393795655506 0.229064977993067 0.163865919939503 0.128306144852031 0.127510759113869 0.144951883767487 0.129182430807134 0.105107764183895 0.251935826736279 0.194563768514316 0.187351492969154 0.189516346740213 0.11639428744764 0.24198467678584 0.196125633445036 0.139008784774316 0.180392117480693 0.200154120269683 0.20641279197516 0.159837872832292 0.182157972200896 0.200056645186081 0.172017852552508 0.0750918448538905 0.149577189901707 0.0948259729750418 0.126601696368834 0.113588874142171 0.0884770706600517 0.0869733887089716 0.0831727317334142 0.0842507137304759 0.114192189604144 0.0795634518618136 0.0800214755302043 0.087200243740872 0.0917491755974927 0.0893336936634699 0.095393294793277 0.118775240327851 0.18493962648976 0.13529769381232 0.123635209631711 0.121429507012487 0.107028082145865 0.104029859364511 0.111154552690267 0.0933624717610546 0.115868136489516 0.155601965609003 0.0567221854466558 0.135324199806158 0.164149407885906 0.154445974775081 0.147409888600475 0.114712867799757 0.112995180111956 0.0984878894038038 0.196279144642727 0.163550840612187 0.117650084159573 0.174094956291892 0.123405087092523 0.158076493254619 0.183139929131869 0.108559059645376 0.183958503716321 0.19601709923114 0.178222936100613 0.171741207263828 0.169720867622953 0.139996214429459 0.170773825624784 0.151981201522898 0.237997429531204 0.184557993225973 0.215274815609656 0.153645175893504 0.159094635397483 0.244089749329686 0.203436974561675 0.113927119548967 0.111902515018989 0.167069905253761 0.197472062345996 0.195467847907013 0.168486476172099 0.190115516011504 0.106130525360173 0.197892700897713 0.172736681261639 0.193742789568568 0.229424750517191 0.194454516163721 0.217398732412496 0.163583238003092 0.141544438771688 0.0989308056677094 0.156140616369884 0.117331187821953 0.203620932169206 0.22877675997046 0.16642926786854 0.0823659701113075 0.1763027500828 0.139018863582753 0.158307432392261 0.171432807250006 0.109637383736525 0.164484758299574 0.164249455633224 0.103314824266649 0.136275414649528 0.155512036229093 0.126175851222377 0.193019914600787 0.110788611908041 0.150619651430275 0.226715026497758 0.240001925782701 0.188183804424146 0.156026058714376 0.21921667570995 0.191661106708874
"crypti_javsp." 0.0761714937712835 0.0609071122876687 0.0817208655777002 0.150916806894474 0.134903350740296 0 0.076370372930289 0.118427154672337 0.132255113620937 0.0976378194861545 0.0745240916607809 0.0851291622487158 0.0636652229441711 0.0768935348239287 0.102916960654849 0.213923281983731 0.116350594558928 0.153498281039393 0.128180285269176 0.112877958446685 0.190129475908926 0.158050359633379 0.124385276512557 0.0981104050407166 0.135749813959196 0.155264004407213 0.0915757641888627 0.149112807372262 0.15643491455738 0.145244361729162 0.113348812624308 0.0684392135863574 0.106438297409102 0.0813448718429689 0.0761963960353062 0.104326833089272 0.110571354352915 0.10821230396965 0.128400804229758 0.0949835273376915 0.112487995260354 0.0993927700567114 0.109001465836438 0.118641437259701 0.109081681288588 0.133791405850984 0.0849143972145347 0.0973376923047583 0.0773944786267152 0.0667049361824448 0.0953060184628912 0.0843055505102696 0.139774187294937 0.136047698620582 0.1307970197346 0.147472143102839 0.126110681028176 0.107146424457908 0.0798492659537947 0.0919070969686353 0.101689024322939 0.118407730007613 0.117759244948285 0.116408770481961 0.0940589384123254 0.113256948192219 0.0851382427830731 0.112877858126451 0.0820512380538885 0.0704638880443306 0.170442415050473 0.0990450389152636 0.0819795506013522 0.105164629863316 0.11717359526955 0.105420631399221 0.100860547536927 0.129337063087185 0.102352223560335 0.119795303685404 0.0990815656916616 0.179761691426317 0.118879752425971 0.148963647264613 0.130172108901503 0.123266168173778 0.1727499796314 0.149919091686194 0.114883380271501 0.118101899777983 0.152002629413184 0.166781501563013 0.130368740994926 0.148687282781859 0.136234686568243 0.12357916645442 0.136305275612653 0.109660409942047 0.152965540843051 0.170624483345508 0.135799330778734 0.166863095577422 0.117433095283497 0.127150221406635 0.115303121338822 0.128877275318744 0.0833372634922048 0.145143336077965 0.19954437261407 0.103638730546261 0.122529157347032 0.119360126400136 0.126344280544269 0.118147088254354 0.119553563337887 0.0902025159340238 0.111782727615456 0.141890216407248 0.160194269743498 0.108499954038023 0.115377521398476 0.120899126928288 0.147458745168263 0.145942560012613 0.0937069103220063 0.22223229498931 0.179073210223732 0.171972101748844 0.15722453292745 0.178737288276564 0.160697105608391
"crypti_litnoh" 0.108747756849865 0.0633160140471894 0.0940368137537775 0.165020752313903 0.106500047241507 0.076370372930289 0 0.0789148909985179 0.153006492198975 0.117604568113647 0.084565226714048 0.0740640299567595 0.0913213378349721 0.0859666259424909 0.0863839768722883 0.221504354021351 0.126244821260142 0.165353464205632 0.142755924904262 0.107356427240264 0.189621050343762 0.139478736466263 0.123334032723873 0.132865012312205 0.146546811552635 0.166938367769519 0.10232548802144 0.14421696760099 0.161935872630056 0.146920495896371 0.0768600790653444 0.113611813233552 0.0919141749766865 0.097867215883184 0.0821457244047542 0.0954052798743163 0.0906743579202328 0.0854049610219402 0.105798287953669 0.0767450268102308 0.0994949612448621 0.0838975991269557 0.0814410443703957 0.0978555266857595 0.0927706216602169 0.116589881715339 0.0875653723464018 0.110184531857248 0.0754009921682518 0.0858084586406559 0.0849539300680675 0.0633823778686952 0.0997405269936887 0.10694421813882 0.0956198453425281 0.121830737218345 0.126233465258419 0.0969748219223945 0.098294781948741 0.103619405091084 0.093133004063123 0.109210337294551 0.102212971079012 0.0947041145426838 0.0798169448797923 0.142571530058266 0.108029644572552 0.0879211236631706 0.112406300568401 0.0708793870225128 0.13701248181831 0.121226985614566 0.0681370849065104 0.11884317625953 0.14620858171988 0.125482890564277 0.11068727048148 0.13938117758018 0.113695970621017 0.12613312687765 0.111542363625486 0.19390179949158 0.135980676098306 0.163985053416637 0.141495594016991 0.128448051160878 0.192528136616101 0.168580252997142 0.105592877588854 0.110441734284853 0.139811897494857 0.166409447131089 0.148838840723518 0.153549301870167 0.154698223176435 0.0974466703025697 0.160772990991006 0.1420134815908 0.160560415682228 0.169630151291757 0.146502613495228 0.170996858553634 0.13245454606128 0.119346318507068 0.129166474987799 0.112876227648458 0.0939681525397332 0.163712902210394 0.187595863730549 0.112744939243519 0.101163921465254 0.115291837383073 0.112776949191011 0.133370808490182 0.133156330785325 0.085706750073387 0.113530476817104 0.131403115371218 0.125818668214861 0.115143845233612 0.111687021727011 0.112534429749338 0.142329063043742 0.116439673577078 0.113736317049868 0.204148004732498 0.19365445691173 0.169092394075433 0.142504897166522 0.170060942415688 0.167515879801263
"crypti_manbak" 0.142321201253127 0.0982858460393113 0.126433382080119 0.194080801167413 0.117393795655506 0.118427154672337 0.0789148909985179 0 0.185099584432154 0.15265587687536 0.108354803442001 0.0995658360173716 0.136720988595985 0.1205750429327 0.0791367828088029 0.24408382675027 0.173921643732658 0.192848392967285 0.183496109367234 0.144485656156459 0.232381946387401 0.160636335113981 0.16336908870138 0.178056011578023 0.181764642112364 0.21338649077666 0.144497563289054 0.177106858149221 0.201551435582944 0.180762414988429 0.0785797494097426 0.144244308652877 0.0976994900099532 0.123357782361143 0.111478140908362 0.107409442327589 0.0916110718253325 0.0872135206338218 0.0998098451512265 0.106642606484388 0.0976187295307163 0.0950421720838353 0.0761648579252829 0.0962391318284839 0.102024380101548 0.128968011357535 0.11423603146627 0.160685463276985 0.110413550182636 0.11892225755399 0.0883514459270986 0.092822647262001 0.100143742540051 0.100509676714901 0.0959712543662129 0.121895866304501 0.130484972857302 0.120898839089647 0.124850039826443 0.137655991131722 0.106017549365256 0.124197738671471 0.0864007515247543 0.107484519793301 0.0909181928122165 0.165752529779844 0.140304998498867 0.0886542919208659 0.154020887691178 0.107699671207226 0.149543858987523 0.161921743450514 0.113259058597155 0.160091498070321 0.172325291007237 0.153374364746638 0.130377350851727 0.18792583819054 0.156057967479421 0.166580447515222 0.151886050264263 0.218886339787158 0.175118997728631 0.19899349838432 0.171345908805954 0.161630651684266 0.226896171879539 0.199122592267814 0.145349795678174 0.148770280606847 0.177014707986985 0.193657472379594 0.186619413343844 0.192378844445177 0.195549922034301 0.118659621672606 0.191309653532121 0.17964200365559 0.19159968578973 0.200975175401917 0.181348719797416 0.202971739494634 0.162852829669823 0.115258696319943 0.146639738228488 0.149991400704451 0.116480128618452 0.196384931855615 0.22989520578238 0.16200249311653 0.132205118632598 0.157435161843217 0.156665455157367 0.164330459060114 0.170622557771665 0.129616908267777 0.162156194276233 0.171727845841316 0.147219769610825 0.167240843168124 0.15095952723259 0.148626419852259 0.178087425423211 0.131782178826212 0.150342963243895 0.221554103679945 0.226211113982122 0.203538201348982 0.17661810728682 0.204520672727507 0.199782550752184
"crypti_notinc" 0.123905288799332 0.13315535654719 0.139266388415004 0.117766235343206 0.229064977993067 0.132255113620937 0.153006492198975 0.185099584432154 0 0.140010188177142 0.13832212772834 0.132876865777546 0.122185223638098 0.136495804293158 0.167463840546033 0.22049643889466 0.110645630812331 0.190123272923268 0.14984111281296 0.197330533112247 0.17168371691286 0.147814875099561 0.206540054300609 0.151458596002391 0.152370923939951 0.160319164366058 0.0942468641713769 0.170040165955953 0.180070499844018 0.19515216517186 0.204193601669805 0.140176311097506 0.18173515646603 0.167428283798264 0.153593171853194 0.195311463597592 0.19559091064812 0.188389575810735 0.209090731973212 0.166247285670404 0.204858852898926 0.193574364417877 0.19368033688633 0.194757686092399 0.188228730240615 0.225981135204737 0.163649347971673 0.10549349625498 0.129930079500027 0.156808222901928 0.163721443178755 0.164561631706681 0.203139393585162 0.203077086054625 0.200781419523931 0.207689438161789 0.157685745781161 0.212687960334867 0.141269433867425 0.134032969476192 0.13012371854765 0.149313213834746 0.183447047536319 0.188141129503797 0.170954476859228 0.115750135595027 0.117728807727215 0.174329821038804 0.108658404307966 0.141668262273978 0.183546019855215 0.114947049104142 0.152354997097561 0.126057438845238 0.117877356348203 0.111089445170414 0.117322658444944 0.180321264027567 0.164723313128713 0.146917013832266 0.142863266583639 0.165985830415747 0.135099911382234 0.149488339286083 0.193566055926164 0.170253825085401 0.140460105647283 0.176909515657784 0.19458311254759 0.19907747754895 0.198914263036271 0.199922899838889 0.152227618813619 0.204486859857686 0.18333618036841 0.190362429908857 0.180191208077415 0.160137813879328 0.186356169598292 0.131812759605902 0.129058069805164 0.1590594088191 0.156899714864325 0.176416231602563 0.223896540762006 0.160178819030111 0.16149652439934 0.149557015341059 0.201929345034897 0.146911300146671 0.204751879041053 0.106246253256938 0.187312309424436 0.168711704945889 0.151116639664855 0.169199245629705 0.157234251434521 0.178552414198441 0.217249762294229 0.179035516225121 0.152726338641485 0.193779219836042 0.137403105486195 0.216372462990891 0.158228896968842 0.213467515992473 0.17891406843764 0.202387010367687 0.208029082317406 0.185480233537297 0.187850148742701
"crypti_oretsu" 0.0578938339527169 0.10130680264968 0.0746031228729667 0.106528229140433 0.163865919939503 0.0976378194861545 0.117604568113647 0.15265587687536 0.140010188177142 0 0.0650358654194753 0.0886249535282021 0.0630342336675294 0.0868250579949381 0.144997981423931 0.144568922781201 0.0897471998708301 0.113918870620753 0.0925284592542438 0.112354091256303 0.136873087346914 0.124583343974546 0.115576932491093 0.0757347217698758 0.089981290716616 0.106808844470704 0.0983026196462755 0.100651889314333 0.108744101088067 0.101017338576556 0.152822669557615 0.0882324871597826 0.141439985005853 0.12132104164385 0.1043756975589 0.136912026220072 0.164160726596935 0.151226135413718 0.144402506307329 0.153958351912318 0.145112067500343 0.15128787776161 0.144627310291091 0.129733081089209 0.14841768883451 0.180673009963361 0.104260249155909 0.082940810290292 0.104971961795024 0.129373026663341 0.136533565708669 0.106506464044607 0.161162375917152 0.145357466699742 0.153792069772243 0.174107487619906 0.116302748066108 0.144768123642348 0.120867291087974 0.103254644930438 0.13267155411112 0.150831121536083 0.135706798684297 0.115174370465705 0.145172877436026 0.123138908563702 0.0905114254340101 0.150982231622747 0.0815979467861555 0.0885000263307699 0.170392142930919 0.0875742560945997 0.112132077306563 0.0682126805040891 0.0830701672730572 0.0666548243949767 0.0991199862198604 0.102350947466447 0.072999335846687 0.0723128621227182 0.11128498184089 0.112702602004589 0.0589270032065756 0.100214048571999 0.10042568072342 0.0804654162023687 0.108317789015944 0.0855350838484508 0.131562258255577 0.129110396360574 0.130084912885504 0.131509241383505 0.0790189834654944 0.113578084414653 0.103487115710986 0.143369252822227 0.0839125473452171 0.0940192606349157 0.0975537665588851 0.122839785173944 0.0919477679967379 0.114159622440222 0.110021947764691 0.127379771654678 0.148727636727404 0.10254018762838 0.137222571831096 0.102935496751747 0.163994609538444 0.128785677529828 0.143223320098859 0.102781560999116 0.132827926726297 0.126112725178512 0.083202291702857 0.123895291555285 0.136869883704328 0.148630560171054 0.162407159745681 0.110134201351311 0.119098122974287 0.139563634388246 0.129722736050034 0.173338468881441 0.106773098871884 0.164865845235997 0.114027879029275 0.123393636491168 0.127514521112594 0.129086865685431 0.101596463211968
