"crypti_acotar_f" "crypti_demcor_f" "phygad_enclae_f" "phygad_glypro_f" "phygad_isaini_f" "phygad_masaci_f" "phygad_meslae_f" "crypti_parple_f" "crypti_schgra_f" "phygad_enclae_J" "phygad_glypro_J" "crypti_acotar_J" "crypti_demcor_J" "crypti_parple_J" "crypti_schgra_J" "phygad_meslae_J" "phygad_isaini_J"
"crypti_acotar_f" 0 0.156963816333918 0.206894936573752 0.16330230001104 0.202528129625649 0.167371718086306 0.154808441306478 0.108805098042151 0.132177593362009 0.154334983630442 0.162454878910735 0.12834488653702 0.145381840900607 0.0976044526803443 0.137946469321736 0.131949311504277 0.18303705113643
"crypti_demcor_f" 0.156963816333918 0 0.178748079262043 0.100983051823207 0.152916072136073 0.126975151602243 0.150652540230842 0.123489342593264 0.128261133058837 0.151383331585254 0.152450205584989 0.146266994716597 0.105810079012367 0.125945396929973 0.139426086047027 0.154786151787002 0.108399571183988
"phygad_enclae_f" 0.206894936573752 0.178748079262043 0 0.170656936518188 0.0905275849063372 0.12325780587119 0.122615081660515 0.166298560265213 0.190942081470381 0.106691412220655 0.191113546586396 0.227820928042615 0.20141527751153 0.188275389862499 0.219278263842107 0.158937744530597 0.153954950115129
"phygad_glypro_f" 0.16330230001104 0.100983051823207 0.170656936518188 0 0.134472123139021 0.135985809244101 0.118279841441445 0.124583809809006 0.12414834237541 0.129600647697099 0.0993920658190904 0.134702248770441 0.108970375986222 0.138823415093497 0.144890715556334 0.144665431211157 0.130141534724278
"phygad_isaini_f" 0.202528129625649 0.152916072136073 0.0905275849063372 0.134472123139021 0 0.113938114935827 0.119484136961429 0.145329516566861 0.168248821302463 0.0985841636220129 0.178563609605936 0.211187239853261 0.180517107214217 0.180895552380647 0.206541675917172 0.150044559263693 0.143252701516151
"phygad_masaci_f" 0.167371718086306 0.126975151602243 0.12325780587119 0.135985809244101 0.113938114935827 0 0.121896675937703 0.131536600433484 0.149971995888781 0.13026440425232 0.163508651169506 0.194470283718467 0.164041702483271 0.153878155623796 0.173628078530686 0.151097101636606 0.105747910783328
"phygad_meslae_f" 0.154808441306478 0.150652540230842 0.122615081660515 0.118279841441445 0.119484136961429 0.121896675937703 0 0.114886383920562 0.119551695181366 0.0995513314941322 0.123565482906262 0.158282112457877 0.143111906627168 0.13615373093198 0.143727499047659 0.0892255292452057 0.159052332592792
"crypti_parple_f" 0.108805098042151 0.123489342593264 0.166298560265213 0.124583809809006 0.145329516566861 0.131536600433484 0.114886383920562 0 0.127949652915472 0.116322932977596 0.135026855183176 0.120367070605328 0.140560751089721 0.0843397219952226 0.1200540792124 0.111665507222211 0.152493795846619
"crypti_schgra_f" 0.132177593362009 0.128261133058837 0.190942081470381 0.12414834237541 0.168248821302463 0.149971995888781 0.119551695181366 0.127949652915472 0 0.155338272452073 0.143798904106029 0.143216719151173 0.103753472373158 0.12489673847322 0.112613030427433 0.102836374197638 0.178824618957289
"phygad_enclae_J" 0.154334983630442 0.151383331585254 0.106691412220655 0.129600647697099 0.0985841636220129 0.13026440425232 0.0995513314941322 0.116322932977596 0.155338272452073 0 0.128995550764746 0.152063696600256 0.144964210390271 0.129429384404537 0.166831718038065 0.109085010477995 0.151897867442449
"phygad_glypro_J" 0.162454878910735 0.152450205584989 0.191113546586396 0.0993920658190904 0.178563609605936 0.163508651169506 0.123565482906262 0.135026855183176 0.143798904106029 0.128995550764746 0 0.107624543264959 0.109143223618092 0.130815065411361 0.131178569521841 0.140711896579554 0.171941562469763
"crypti_acotar_J" 0.12834488653702 0.146266994716597 0.227820928042615 0.134702248770441 0.211187239853261 0.194470283718467 0.158282112457877 0.120367070605328 0.143216719151173 0.152063696600256 0.107624543264959 0 0.111880409734745 0.0728318788771274 0.0870811732128355 0.128664823845134 0.19842943239329
"crypti_demcor_J" 0.145381840900607 0.105810079012367 0.20141527751153 0.108970375986222 0.180517107214217 0.164041702483271 0.143111906627168 0.140560751089721 0.103753472373158 0.144964210390271 0.109143223618092 0.111880409734745 0 0.122233390978513 0.112404766410177 0.129236069873229 0.166961421597438
"crypti_parple_J" 0.0976044526803443 0.125945396929973 0.188275389862499 0.138823415093497 0.180895552380647 0.153878155623796 0.13615373093198 0.0843397219952226 0.12489673847322 0.129429384404537 0.130815065411361 0.0728318788771274 0.122233390978513 0 0.0831662677625178 0.100578813529482 0.170746866942575
"crypti_schgra_J" 0.137946469321736 0.139426086047027 0.219278263842107 0.144890715556334 0.206541675917172 0.173628078530686 0.143727499047659 0.1200540792124 0.112613030427433 0.166831718038065 0.131178569521841 0.0870811732128355 0.112404766410177 0.0831662677625178 0 0.108274939364872 0.196526488375762
"phygad_meslae_J" 0.131949311504277 0.154786151787002 0.158937744530597 0.144665431211157 0.150044559263693 0.151097101636606 0.0892255292452057 0.111665507222211 0.102836374197638 0.109085010477995 0.140711896579554 0.128664823845134 0.129236069873229 0.100578813529482 0.108274939364872 0 0.188639815432929
"phygad_isaini_J" 0.18303705113643 0.108399571183988 0.153954950115129 0.130141534724278 0.143252701516151 0.105747910783328 0.159052332592792 0.152493795846619 0.178824618957289 0.151897867442449 0.171941562469763 0.19842943239329 0.166961421597438 0.170746866942575 0.196526488375762 0.188639815432929 0
