"phygad_aclfla" "phygad_ampsp1" "phygad_batcla" "phygad_certae" "phygad_chapro" "phygad_cresp4" "phygad_enclae" "phygad_glypro" "phygad_locpim" "phygad_masaci" "phygad_medaff" "phygad_megluc" "phygad_ortsp3" "phygad_physub" "phygad_plamon" "phygad_pollam" "phygad_stibro" "phygad_sulsp2" "phygad_themic" "phygad_tripim" "phygad_trofal" "phygad_xipsp1" "phygad_anumin" "phygad_brabra" "phygad_bratem" "phygad_epeano" "phygad_forbid" "phygad_gracil" "phygad_hyphex" "phygad_oeccus" "phygad_plehun" "phygad_rhasig" "phygad_stigag" "phygad_trazon" "phygad_vesmaj" "phygad_uchmar" "phygad_amypul" "phygad_apotru" "phygad_diapro" "phygad_endsub" "phygad_eudsp." "phygad_gabdes" "phygad_gnoten" "phygad_hembip" "phygad_isdlyc" "phygad_parfas" "phygad_retsp." "phygad_stidec" "phygad_teldec" "phygad_acrnig" "phygad_agaswe" "phygad_atrbic" "phygad_dialav" "phygad_diccra" "phygad_ethsyr" "phygad_lysman" "phygad_meslae" "phygad_xenbit" "fossil_fossil"
"phygad_aclfla" 0 0.0909125114312682 0.116155156737103 0.0871722364425133 0.055757241178515 0.0823150194183798 0.0763062892380983 0.129058277462304 0.103104099437458 0.116570101163974 0.106333733819444 0.0776053190663305 0.0764411271215003 0.0866393597788799 0.0798241357080877 0.113668383475294 0.0720637865473234 0.095213807360322 0.0784593485277537 0.113440183717265 0.122276858198873 0.0885499802634798 0.0954316660604029 0.114069697004497 0.0860324507297847 0.0658458341540737 0.134457764472356 0.124595505078046 0.129902069356196 0.0936554586248033 0.0671217011838777 0.0887132164489833 0.0909038233816957 0.120640964424858 0.0888195094015804 0.0905126167265166 0.107086745317257 0.0689641848818241 0.0741442375320766 0.0913215899957223 0.0759449546406037 0.100226865473709 0.0665790836088433 0.0867340375693774 0.0859689700113829 0.130039994516519 0.0858380040719955 0.0615201527216379 0.117794433463844 0.105879877721228 0.0790836812108035 0.0772023614241759 0.0846979870393534 0.118840165019177 0.0699728916556255 0.0797551124382629 0.0950536239360947 0.0770812208944317 0.145005167623829
"phygad_ampsp1" 0.0909125114312682 0 0.107074177354704 0.0737380123660253 0.0826118667054948 0.124879353251132 0.100452932320983 0.0883569931938619 0.104778984656709 0.0913068198426817 0.0569918799558989 0.0572806805191437 0.0653103325498291 0.0653171188634504 0.0807020348571385 0.153260060276482 0.118100343523778 0.0740543658910794 0.0652224678098086 0.123736014625199 0.0783615691795037 0.0708261030025444 0.15320690840709 0.0614404564213245 0.105782369765402 0.0761465925704174 0.109722697735824 0.125097797709782 0.111369450991181 0.0745941911484913 0.0905172244484554 0.0892008317385311 0.102569796566937 0.105926133902349 0.10989606384464 0.0983270012468601 0.0780416857458866 0.0744989225382207 0.119542179538043 0.0553103044540291 0.0898543899239354 0.116259380879352 0.078845551278167 0.109852354525569 0.103174395659927 0.120605069152205 0.120890002765431 0.0723590620519339 0.122021538817745 0.093822327332589 0.102235329093191 0.0744407997765838 0.101730530053573 0.100495682057837 0.0647429931237175 0.0999683185154651 0.0816556856275819 0.0916362329682287 0.143313170760179
"phygad_batcla" 0.116155156737103 0.107074177354704 0 0.107328263663628 0.124276854896872 0.149382180416743 0.121015897502898 0.161749858841688 0.162804412999328 0.149187221757498 0.125794760883688 0.121615291057577 0.113088474387128 0.130227295711375 0.0991031989704487 0.192011929199179 0.143289422810681 0.125181297625177 0.0948474013861402 0.117654938822996 0.113677015835266 0.122626961062146 0.171041873529281 0.141364880930498 0.107199669172594 0.112891366179708 0.0832669916098931 0.185205464567994 0.174529528720624 0.0980981516907362 0.125861134118065 0.131577767009525 0.12343312722142 0.13557091212843 0.104546719747878 0.0941024005816167 0.0848919235950736 0.106179183019695 0.169559046160921 0.117584732697402 0.139069549040975 0.0883493600679505 0.0849897333324702 0.176242807184223 0.127217201843127 0.117462826047561 0.12010599397749 0.121022925125629 0.0977901569451398 0.110529410029806 0.123392306647742 0.0812732171266833 0.121435405581759 0.174941072798204 0.129175557198852 0.145045792530658 0.0957542552784931 0.134461499077078 0.183432872441926
"phygad_certae" 0.0871722364425133 0.0737380123660253 0.107328263663628 0 0.0720909866554803 0.120293775992829 0.0721949693415511 0.117912644614315 0.125022839827808 0.107484580945281 0.0845859769802393 0.0505769985285749 0.0517447325428884 0.0723037034379731 0.0623907597428796 0.149251567975002 0.101310203939493 0.0694501680405001 0.0647208158202082 0.101610981393174 0.101654982764878 0.0647499330327245 0.141047005962623 0.099041144789179 0.0923302872059641 0.0559370225617531 0.092859805657203 0.12793980880394 0.132271619262939 0.0543664678081853 0.0633492735265951 0.0872905361655662 0.085331334045568 0.0849336657896854 0.0806601267101986 0.0767549788066473 0.0753569978669868 0.056544092189816 0.120114228422403 0.0832039183760485 0.088304072052608 0.0942709525195781 0.0673944926181609 0.117670841746197 0.0838883689920579 0.0997335675983673 0.102989930432514 0.0689978859791772 0.103900589013351 0.0658806245436018 0.0863913925744087 0.0693084743515881 0.0830355287336805 0.122325375313665 0.0920986700528349 0.0878222986538428 0.0856523904135033 0.112270370884779 0.138498668764005
"phygad_chapro" 0.055757241178515 0.0826118667054948 0.124276854896872 0.0720909866554803 0 0.0808601345519832 0.0723457031142105 0.116478025156905 0.104534611547227 0.104543514108674 0.0980339825623141 0.0648840235060817 0.0703365325271274 0.0673746896666765 0.0754413009907336 0.109354768195741 0.0596231099856336 0.0743570934760807 0.0757052637067318 0.103181539959688 0.113360546300407 0.0803930899163855 0.101340059421164 0.105202916272559 0.0819591164725205 0.056981725149086 0.127391020314564 0.121085296284389 0.107822661580869 0.0881734569798161 0.0468123802247743 0.0901197706688831 0.101580768871172 0.102256362243107 0.0856659978679219 0.100210529797108 0.102092246329845 0.0649066856601535 0.0785394777549621 0.0855646507460098 0.0585084721672606 0.104077972560739 0.0629790134514431 0.0931718835958479 0.0784018189277546 0.114311107379702 0.0801608703463041 0.0619765345118588 0.113147788037264 0.0937708772248196 0.0778898996675115 0.0849826427200662 0.0726193725060783 0.0967413465130935 0.0681952317438334 0.060639459700135 0.0943801391918803 0.0902124240438995 0.138991775781294
"phygad_cresp4" 0.0823150194183798 0.124879353251132 0.149382180416743 0.120293775992829 0.0808601345519832 0 0.11664383387486 0.137515678071237 0.125238095796597 0.128258058538379 0.148301304973392 0.118834408469192 0.10613253970332 0.101271756164578 0.0946540944681787 0.124793050062628 0.0715818985407857 0.114527839504036 0.120116649862193 0.108195484160124 0.152016812667695 0.110456316396803 0.106147990619096 0.14769766749777 0.108272064090654 0.100796468348389 0.161675491916152 0.167611327719756 0.147407036451784 0.116298320054102 0.0899839930521922 0.137871371346165 0.154129896067411 0.141265070843276 0.12420167286711 0.145073902500389 0.133480064653814 0.113060932441472 0.0713830312905078 0.117291427717103 0.101305904012105 0.131468433249331 0.0982422378546676 0.103563390081296 0.0884012153333551 0.169463101698981 0.113147279549255 0.10455727125417 0.150160747865445 0.138665846231124 0.0840783140125195 0.113187087399451 0.110313792507444 0.135027322645789 0.107518000509366 0.11032152658522 0.126460662486362 0.114208408472219 0.182999571740164
"phygad_enclae" 0.0763062892380983 0.100452932320983 0.121015897502898 0.0721949693415511 0.0723457031142105 0.11664383387486 0 0.125200915569742 0.111851084164955 0.111794115956777 0.117532096012377 0.0698071766376641 0.0873907797686108 0.0929239391786965 0.0791944770475072 0.109929121191013 0.0847026497749121 0.071185245575405 0.0833305533195359 0.106230504248464 0.126910497589679 0.0912275186515042 0.104303701159994 0.121655568723252 0.0658929691542158 0.0514555465678051 0.111204907751076 0.0996750396389255 0.128825432502095 0.0951876439790739 0.0714023542005506 0.0626402301146359 0.0818843237460735 0.0687610088076181 0.0569373390062038 0.0722926809152285 0.0931476087923475 0.055569530542597 0.109228005612437 0.0926216946818833 0.0684447678621372 0.0726526682960313 0.0699082168785759 0.107857776985031 0.0702361568536847 0.0927222698060769 0.0808800114059735 0.0576226231777753 0.089539926440181 0.0685613845212364 0.103270699151059 0.0921902040227526 0.0495784062413394 0.126053891663587 0.0834527975460246 0.066217557957579 0.110682036723854 0.0976268423214747 0.121410853977383
"phygad_glypro" 0.129058277462304 0.0883569931938619 0.161749858841688 0.117912644614315 0.116478025156905 0.137515678071237 0.125200915569742 0 0.107886281921643 0.0710783841168277 0.10447952652817 0.0908992894289792 0.100833063234093 0.0744023599591091 0.107912879349373 0.14270873418347 0.1372020068858 0.0826599999913839 0.113710453983606 0.14851246235236 0.13126092554265 0.101013498360449 0.16021425888855 0.0837687395108086 0.126801667450552 0.110921340618904 0.150897069273451 0.115171390213586 0.132121077816781 0.11511917732676 0.116292919834173 0.111509806688462 0.146705769922778 0.110449352790792 0.141329790378451 0.135307600502692 0.121195636816527 0.107674258262589 0.124104631179815 0.0748179915954781 0.094405616745304 0.148615788033982 0.116511744790835 0.108268160177098 0.106268358179198 0.159463367320248 0.154558716344083 0.100461435361485 0.154950688315221 0.127748707190722 0.139309802636868 0.130595825702432 0.115802432221586 0.10011134809153 0.0930102222723711 0.115165693776666 0.140992969022731 0.111319949403023 0.149717782465593
"phygad_locpim" 0.103104099437458 0.104778984656709 0.162804412999328 0.125022839827808 0.104534611547227 0.125238095796597 0.111851084164955 0.107886281921643 0 0.0872911674762642 0.108824706995877 0.0972911294027952 0.112391832983693 0.104157802463195 0.107983029493388 0.132887235049301 0.136580734679875 0.0940832902202147 0.114105859542306 0.146916303791844 0.114670758205242 0.0927356782871785 0.138422042889903 0.0952270066855449 0.13052531354806 0.106185256882264 0.162954458377936 0.100588803426167 0.104365566914237 0.133859245622686 0.119584940113637 0.0905391970468356 0.132817290384579 0.114255449975893 0.126895231378157 0.129689290324201 0.118065647981262 0.0959422606867291 0.100833333153426 0.0796690278291866 0.0964793286995292 0.141782197217987 0.115769191932498 0.083285681254869 0.104271299468205 0.161200916337049 0.147927811465782 0.0833541411703192 0.139540898353575 0.136994736088909 0.131506382905148 0.138756466488308 0.114276880344159 0.113317780669689 0.0760554331221037 0.100965467840814 0.153249152917671 0.0911668450463864 0.157099366099234
"phygad_masaci" 0.116570101163974 0.0913068198426817 0.149187221757498 0.107484580945281 0.104543514108674 0.128258058538379 0.111794115956777 0.0710783841168277 0.0872911674762642 0 0.0989054361691989 0.0823336965987643 0.0867242782202556 0.0771672382071516 0.0856835476102617 0.147208971528062 0.131857516863254 0.0783142420539891 0.0994279913781053 0.128975459951225 0.111878783665712 0.0840768319332038 0.155797363062718 0.0805454488892579 0.124352372568326 0.0952989447114943 0.14473767760039 0.114275035325934 0.128486989455463 0.0977938293388459 0.104820896544017 0.101223535894248 0.149895730572858 0.0986567466658124 0.124168385608167 0.118773844032879 0.106401253012331 0.0941856600537289 0.12260102490663 0.0738107441176559 0.0839184233957374 0.132048904412051 0.10650347581963 0.106760426682568 0.0912784629272675 0.146228616619307 0.144976503238278 0.0853695099198366 0.124832361297795 0.110581260605374 0.12158360855429 0.123688371027014 0.103347538386653 0.107312700843402 0.0900419425745529 0.1099633161966 0.148962611400932 0.106216496145673 0.16177286302865
"phygad_medaff" 0.106333733819444 0.0569918799558989 0.125794760883688 0.0845859769802393 0.0980339825623141 0.148301304973392 0.117532096012377 0.10447952652817 0.108824706995877 0.0989054361691989 0 0.0661598103197369 0.0811912923542326 0.0799142757885074 0.0960929815058216 0.169544315319564 0.141167303397617 0.0893304802204201 0.0801023094835007 0.143812768522399 0.0764204459437324 0.0770277588332993 0.17265574052369 0.0592037611599036 0.134122469583343 0.0964651825267247 0.127751087478375 0.124158069387387 0.117615942676856 0.0933281501201741 0.100147652782271 0.100224119392179 0.10635887052811 0.118763383734355 0.125899934350627 0.108689803915798 0.0929090591002308 0.0801030705941833 0.137417381963319 0.07543495840113 0.104928936296127 0.137313545602723 0.0994622713723212 0.120907604754429 0.12097535798562 0.126610156599129 0.143875008538521 0.0912091682062563 0.131963613049676 0.111870236602801 0.12004988617204 0.105601742889847 0.120809542044085 0.104362875098338 0.0869768509580513 0.110214548372987 0.112287590068849 0.114252464409555 0.15346797938471
"phygad_megluc" 0.0776053190663305 0.0572806805191437 0.121615291057577 0.0505769985285749 0.0648840235060817 0.118834408469192 0.0698071766376641 0.0908992894289792 0.0972911294027952 0.0823336965987643 0.0661598103197369 0 0.0519318083508811 0.0513072683378358 0.0684859935182281 0.130061603386742 0.101892906351409 0.0565934681422971 0.0623736940273107 0.114820853345814 0.0994112068177188 0.0540927142651151 0.133682584886411 0.0760277161673027 0.0953595483799579 0.05483745941305 0.111423101472545 0.0939037953307004 0.111791593813422 0.0660007885041754 0.064273030152424 0.0651947633181386 0.0858700113999145 0.0802718827826161 0.0889335289531435 0.0810661002621918 0.0769658138873757 0.0524715272131057 0.106408431991766 0.0604564024189079 0.0687382303186427 0.106345739700763 0.0714934107062346 0.0930887859047751 0.0791038010908542 0.10951937341531 0.110211824804977 0.0519985330525396 0.112323604040036 0.0740780301750028 0.0896363832257658 0.0792950421995847 0.0801162084839615 0.0968341365801582 0.0664528133660418 0.0760638242970634 0.0947603082048612 0.0904294220701975 0.120418568868042
