"phygad_aclfla" "phygad_ampsp1" "phygad_batcla" "phygad_certae" "phygad_chapro" "phygad_cresp4" "phygad_enclae" "phygad_glypro" "phygad_locpim" "phygad_masaci" "phygad_medaff" "phygad_megluc" "phygad_ortsp3" "phygad_physub" "phygad_plamon" "phygad_pollam" "phygad_stibro" "phygad_sulsp2" "phygad_themic" "phygad_tripim" "phygad_trofal" "phygad_xipsp1" "phygad_isacor" "phygad_isagal" "phygad_isalon" "phygad_isamin" "phygad_isaini" "phygad_mastru" "phygad_micten" "phygad_neoden" "phygad_thanee" "phygad_zoolar" "meansp_fossil" "phygad_gracil" "phygad_oeccus" "phygad_plehun" "phygad_stigag" "phygad_uchmar" "phygad_chithy" "phygad_endsub" "phygad_eudsp." "phygad_gnoten" "phygad_hembip" "phygad_acrnig" "phygad_agaswe" "phygad_atrbic" "phygad_chithy" "phygad_dialav" "phygad_diccra" "phygad_ethsyr" "phygad_lysman" "phygad_meslae" "phygad_xenbit"
"phygad_aclfla" 0 0.114476469464381 0.149968093453888 0.125962462692909 0.10394776710767 0.125213913063966 0.108397811082424 0.133298369444067 0.125228532325845 0.136532464462178 0.126821350659284 0.114001926495742 0.128439777798766 0.121276306455135 0.116685281786635 0.122615183869612 0.111495490556378 0.109445836977419 0.120523519388224 0.129505043221159 0.13286581113497 0.119629389260041 0.161943379831203 0.127985696051749 0.154769907188414 0.148650954937145 0.169736855524986 0.127351082589524 0.133393968120211 0.139115907092812 0.118632184250448 0.119852925762454 0.154103623763407 0.125759571795702 0.136117708361379 0.109950485246571 0.100205918507051 0.136538714679964 0.137260624855456 0.107580853756263 0.108122553044929 0.0987274583173509 0.117979047115759 0.12813260467911 0.121330249345748 0.130396148918476 0.129673879723181 0.0992125571468676 0.134245098607093 0.10127646068523 0.113272726563331 0.134839834033584 0.114043762336009
"phygad_ampsp1" 0.114476469464381 0 0.104537227172293 0.0710425329371772 0.0884341042121151 0.126558328631037 0.0950851897355876 0.0935234730257088 0.111008297763556 0.0892562333201916 0.0695819090502957 0.0651347561216738 0.0690566251149204 0.0763408381451752 0.0785991893010762 0.159215076772601 0.119209224441903 0.083332775635306 0.0639568812279655 0.128084313509177 0.086291836476429 0.0700547789770145 0.161730829272683 0.140330336836086 0.173817717137958 0.169444077150434 0.184281531486371 0.124684723153479 0.130956621583895 0.140792509025881 0.129756983882711 0.110787836226043 0.147090871048289 0.131693275359351 0.072068371338438 0.0867809048905029 0.0960738925754016 0.105835981442455 0.0727931530004396 0.0584111414823439 0.0903924310949679 0.0877239239465844 0.112226289712124 0.098990364813246 0.108591136515946 0.0746349463961167 0.0751069266310672 0.106992764443149 0.115174712045706 0.0714828698118962 0.106033546769164 0.0759450057166097 0.0917269084536751
"phygad_batcla" 0.149968093453888 0.104537227172293 0 0.106328748919442 0.128100914447126 0.147795115213437 0.121354854589264 0.161732193545923 0.168249809031673 0.152549994542302 0.131496219132094 0.125398687410714 0.109468608315212 0.134298175827328 0.0977401750417923 0.196256720631436 0.143576244167392 0.131337297230787 0.0895031879836625 0.122329940512135 0.119336069400222 0.120527079060737 0.207255620628428 0.170796425446215 0.211372923508806 0.197476188280112 0.212824415708849 0.167618596364192 0.137022832124804 0.142109931639658 0.167335139958048 0.125366816249671 0.186938421809661 0.188469050533033 0.0946772908737659 0.124823320478795 0.11751230007448 0.102853480494241 0.105077213704166 0.118533254676187 0.139439677940357 0.0922510061608036 0.175081872396649 0.114025666081081 0.124339129015192 0.0790149332007924 0.100571857995115 0.126052538953951 0.181010286283377 0.131833448620304 0.150878413164268 0.0904937297272727 0.135554488545555
"phygad_certae" 0.125962462692909 0.0710425329371772 0.106328748919442 0 0.0713185032772624 0.120115953634568 0.0635633106722865 0.11846951398592 0.122971307416232 0.0991818606457467 0.0789697748133947 0.053188594519264 0.05866039558803 0.0734487313834064 0.0604688459512472 0.148511154821586 0.101058150372682 0.0721127784839671 0.0518990221747856 0.100170949818466 0.094555225614778 0.0633718116873822 0.168680830989717 0.134172478543512 0.174761409520212 0.165989889812352 0.172783988884009 0.10667195200649 0.105372956624704 0.133676868981637 0.100813665279126 0.0891647719218868 0.140606930989397 0.127719428199563 0.0557083712863517 0.0572013393805058 0.0770329087269994 0.0777451005989674 0.0887996644467277 0.0835522189752188 0.0844333231760194 0.0709807108720693 0.119077376926757 0.0667730233124848 0.0850910137575566 0.0705220576720079 0.0879085823063229 0.0825275950607974 0.121806192622474 0.0922362411517491 0.0855034245582629 0.0857899976461625 0.113067413171028
"phygad_chapro" 0.10394776710767 0.0884341042121151 0.128100914447126 0.0713185032772624 0 0.0810269830709641 0.0657259221962023 0.117427803965446 0.102148325377398 0.0976708774901869 0.0953033113729566 0.0655794869084606 0.0733581205012222 0.0654998011825751 0.074940821609653 0.108733234223741 0.0601630930720944 0.0736999531565709 0.0842380712488345 0.103509409007893 0.110390584714319 0.0790872658747772 0.1605865713373 0.0988196798917421 0.131758696000235 0.136980430992653 0.141752787209876 0.0975681618708076 0.102004066816845 0.14131946924613 0.088279468859682 0.0797819028828109 0.139114231219332 0.12107158926599 0.090086049684031 0.0461387909680236 0.0662523998403784 0.100852684291242 0.114158138969761 0.0862984271439054 0.0579556588031553 0.0656433699536101 0.0928927011817963 0.0945732869511491 0.0803653733420079 0.0853876485345891 0.109777512476837 0.0729196085516876 0.0957811451454502 0.0675796896571852 0.0603065968698557 0.0930286279395564 0.0901722967954848
"phygad_cresp4" 0.125213913063966 0.126558328631037 0.147795115213437 0.120115953634568 0.0810269830709641 0 0.116860767159923 0.137378162123048 0.128451499792232 0.122933096785983 0.14381696395906 0.120975830810669 0.106324203200152 0.0985089289717248 0.0945670556364449 0.126937103860494 0.0742270230254395 0.113422932596172 0.119238098657978 0.108404996770222 0.149569442242004 0.112114154163127 0.179095635051066 0.0955750671384538 0.119409163653192 0.118957679997394 0.15776203055406 0.119311149340774 0.137995726027846 0.172064924536722 0.139193162668963 0.101098700703165 0.183506517432863 0.166951104358062 0.117526395417038 0.0940332519574012 0.115692085309584 0.145583255547328 0.156401947168262 0.118827736870988 0.10499774228296 0.0982187898185278 0.106497622365119 0.140021984757075 0.0853455046298847 0.113394677933035 0.150907557955578 0.111074773143628 0.133869197313663 0.107910698688709 0.112844582696371 0.123464542183576 0.114859981164871
"phygad_enclae" 0.108397811082424 0.0950851897355876 0.121354854589264 0.0635633106722865 0.0657259221962023 0.116860767159923 0 0.124102805518546 0.113599894921455 0.107063823188589 0.105714297982661 0.0635416400494251 0.0846220781528744 0.0875384705500184 0.0763243801932108 0.111915105501219 0.0835488403907607 0.0654912722280143 0.0772500650435681 0.104939986397922 0.118292627666009 0.083978180331596 0.145080053831694 0.116888346484074 0.158196227226699 0.148335859550712 0.147231377804205 0.0987160501694125 0.0701120487050582 0.120300079047681 0.081605629776508 0.0609232214549229 0.121374821336028 0.101384556721941 0.0920557975525442 0.0695193665133849 0.0656862822980101 0.0719318952836122 0.11043037627129 0.0919358923456466 0.06752947932607 0.0676060880013525 0.110200322774553 0.0665755076562768 0.100661413518908 0.0877920812842945 0.103801096383177 0.051677286771727 0.1198230112998 0.0787504637625934 0.0619985314007667 0.10219287668412 0.0967924815249209
"phygad_glypro" 0.133298369444067 0.0935234730257088 0.161732193545923 0.11846951398592 0.117427803965446 0.137378162123048 0.124102805518546 0 0.107578145735662 0.064064868536752 0.0995608309573087 0.0915238935597991 0.109176481389204 0.0753946443891952 0.107122359903323 0.141504829289016 0.137963768915554 0.0835238959651854 0.11271085554867 0.148211535327787 0.12694371996869 0.102773234523116 0.151900150658345 0.133576976972246 0.178374353521917 0.168880030713171 0.169781816162277 0.134406499766692 0.152338849025829 0.166038053171782 0.128996233150097 0.132298882809032 0.151289688226494 0.114971306326931 0.115367180206472 0.118524165034169 0.13385613471028 0.135565104935784 0.124305493318941 0.0768020482124309 0.097309088254531 0.117009168919429 0.110748410529683 0.129261121586284 0.139352081688774 0.130287673980258 0.117344520542352 0.116037841289724 0.0994617070371624 0.0929821878493686 0.117644362340454 0.139583891549942 0.112217602333271
"phygad_locpim" 0.125228532325845 0.111008297763556 0.168249809031673 0.122971307416232 0.102148325377398 0.128451499792232 0.113599894921455 0.107578145735662 0 0.0866343807873528 0.100101289640764 0.0959553274920958 0.117781654608994 0.102070806882749 0.109032834399376 0.132843862602701 0.138433483612897 0.0935532699017563 0.12498513209014 0.148624589895936 0.110715541536346 0.0938390142672158 0.100265946447876 0.102275210847258 0.137434907281684 0.130104539445631 0.139367431833738 0.116068588599769 0.13602772696849 0.147223393289316 0.136579570084662 0.113040446663632 0.157662711241203 0.102365067190378 0.134333971548326 0.12166880666928 0.124065024470812 0.132211181475478 0.139687835620195 0.0804076436580162 0.0991371699104638 0.118055032630363 0.0832489552194857 0.139146382948292 0.133363650004376 0.140024027047663 0.12894546245847 0.116434327358257 0.11091283321091 0.0779914186957538 0.103259474279535 0.149561615554273 0.0921326079222694
"phygad_masaci" 0.136532464462178 0.0892562333201916 0.152549994542302 0.0991818606457467 0.0976708774901869 0.122933096785983 0.107063823188589 0.064064868536752 0.0866343807873528 0 0.087939367642481 0.0745107574150913 0.081851859211236 0.067477359810763 0.0811594342800857 0.143467137403208 0.1259763139269 0.0717540444123813 0.102949984743494 0.126632212367101 0.109087626320532 0.0791415626883208 0.141163206620427 0.121325164376899 0.171153054771585 0.165123185598805 0.162893945324977 0.119828231997102 0.1365722475193 0.152944215041629 0.122660792092108 0.116604197990744 0.155945159498456 0.113086076810207 0.0937405852999225 0.101057962619427 0.129833036691737 0.118475228774864 0.118436641119838 0.0701311699375112 0.0815409558171201 0.105067584814772 0.102090073343611 0.111281523220933 0.116883458836132 0.119426618788541 0.110819560059256 0.101821144381291 0.0996105855720259 0.0824779007971691 0.10648238403163 0.137908297199028 0.10190946442701
