"fossil_fossil_" "ichneu_ambarm_J" "ichneu_cercor_J" "ichneu_clythy_J" "ichneu_comver_J" "ichneu_cotdir_J" "ichneu_crauni_J" "ichneu_ctesch_J" "ichneu_eccbre_J" "ichneu_eurtor_J" "ichneu_goealb_J" "ichneu_hymnig_J" "ichneu_ichext_J" "ichneu_isclut_J" "ichneu_lisnyc_J" "ichneu_oedvar_J" "ichneu_psepra_J" "phygad_aclfla_" "phygad_ampsp1_" "phygad_batcla_" "phygad_certae_" "phygad_chapro_" "phygad_cresp4_" "phygad_enclae_" "phygad_glypro_" "phygad_locpim_" "phygad_masaci_" "phygad_medaff_" "phygad_megluc_" "phygad_ortsp3_" "phygad_physub_" "phygad_plamon_" "phygad_pollam_" "phygad_stibro_" "phygad_sulsp2_" "phygad_themic_" "phygad_tripim_" "phygad_trofal_" "phygad_xipsp1_" "phygad_anumin_J" "phygad_brabra_J" "phygad_bratem_J" "phygad_epeano_J" "phygad_forbid_J" "phygad_gracil_J" "phygad_hyphex_J" "phygad_lislae_J" "phygad_oeccus_J" "phygad_plehun_J" "phygad_rhasig_J" "phygad_stigag_J" "phygad_trazon_J" "phygad_vesmaj_J" "phygad_uchmar_J" "phygad_amypul_J" "phygad_apotru_J" "phygad_chithy_J" "phygad_diapro_J" "phygad_endsub_J" "phygad_eudsp._J" "phygad_gabdes_J" "phygad_gnoten_J" "phygad_hembip_J" "phygad_isdlyc_J" "phygad_liesp._J" "phygad_odoacu_J" "phygad_parfas_J" "phygad_retsp._J" "phygad_stidec_J" "phygad_teldec_J" "phygad_acrnig_" "phygad_agaswe_" "phygad_atrbic_" "phygad_dialav_" "phygad_diccra_" "phygad_ethsyr_" "phygad_lysman_" "phygad_meslae_" "phygad_xenbit_" "crypti_acotar_J" "crypti_crapet_J" "crypti_cubdis_J" "crypti_demcor_J" "crypti_echrel_J" "crypti_javsp._J" "crypti_litnoh_J" "crypti_manbak_J" "crypti_notinc_J" "crypti_oretsu_J" "crypti_parple_J" "crypti_plasp._J" "crypti_pledig_J" "crypti_polpal_J" "crypti_stopic_J" "crypti_rhequa_J" "crypti_apopra_J" "crypti_apshir_J" "crypti_artfor_J" "ateleu_atetsi_J" "crypti_bicver_J" "crypti_coeful_J" "crypti_crespi_J" "crypti_cryban_J" "crypti_dicsp._J" "crypti_melsp._J" "crypti_necsp._J" "crypti_odospi_J" "crypti_parsap_J" "crypti_picmel_J" "crypti_steaxi_J" "crypti_steins_J" "crypti_iscinq_J" "crypti_aptfla_J" "crypti_agrsp._J" "crypti_arifug_J" "crypti_bartex_J" "crypti_caeshi_J" "crypti_calhok_J" "crypti_cercur_J" "crypti_chlcoe_J" "crypti_cocnob_J" "crypti_dipate_J" "crypti_dotbel_J" "crypti_gaminc_J" "crypti_hidnig_J" "crypti_idiana_J" "crypti_joprub_J" "crypti_lamsp._J" "crypti_leptub_J" "crypti_meslig_J" "crypti_picwil_J" "crypti_pycfre_J" "crypti_whytri_J" "crypti_colruf_J" "crypti_girgyr_J" "crypti_hemfas_J" "crypti_lisspa_J" "crypti_megmon_J" "crypti_oxybar_J" "crypti_plebas_J" "crypti_rhypen_J" "crypti_schgra_J" "crypti_acrsty_" "crypti_mestra_" "crypti_nemfor_" "crypti_sphves_" "crypti_thrleu_"
"fossil_fossil_" 0 0.206107875878932 0.204931816875692 0.156584890053595 0.180847749013161 0.214723402068245 0.171600952412221 0.197782435743899 0.197461150291734 0.20905484222294 0.208326452838041 0.187185656052482 0.186857139734142 0.200791382374953 0.177006254390924 0.217467943269091 0.215451700495344 0.157583116138894 0.146881894633116 0.185799094855021 0.142139044445901 0.142950909610326 0.187844437259459 0.128856435015502 0.153561871971243 0.159962636570896 0.160291483337948 0.146247843704821 0.120219630362868 0.153313020474921 0.141100745140323 0.162023571157263 0.14435829508215 0.153501729575341 0.128564757016461 0.144177057608504 0.178567472702351 0.167839755445465 0.15436458459858 0.170652026150136 0.143074731184947 0.145140588320385 0.136200433151748 0.163431861643335 0.124087352682841 0.145696576727967 0.166286915396695 0.161825846138097 0.146308804577534 0.132720048180933 0.127934017027182 0.138375522307227 0.146591030398234 0.144718355295722 0.152569602957147 0.134805351295287 0.158524345163981 0.166877345305876 0.143023603140935 0.138225568961691 0.157630331467344 0.145543649685843 0.163056537984836 0.159177251269867 0.170506325889997 0.167578373733219 0.144598288358239 0.152557766284314 0.142013810848654 0.164276810225766 0.148068388273727 0.173752292864873 0.161413030911219 0.139607629344721 0.145377412779381 0.134404606377155 0.127347426872161 0.154464204525173 0.154360728673379 0.189887556262473 0.184493809499354 0.192566093165861 0.169186438222235 0.22876507152051 0.199526728230065 0.187852663631614 0.229805745778542 0.201726867248229 0.163550226614142 0.173623108776704 0.166025487129298 0.171143830592126 0.187275261936425 0.219058391480244 0.180073981214499 0.218349578330643 0.209996915041267 0.211968217663146 0.210253740451983 0.195228649382477 0.200339489504593 0.219062973617934 0.212543363552118 0.209513731549732 0.213918379039769 0.221056018171763 0.217330105082298 0.212225890541976 0.201489961510029 0.218044309997094 0.241150861454121 0.16612236500184 0.152796548671199 0.165701688412767 0.212040483280463 0.202884971524912 0.181572253856241 0.192256569978094 0.194923784447062 0.200481633004519 0.206204705378414 0.178503412801323 0.224875674398811 0.194694232998793 0.162021383231161 0.18929882072804 0.186562222052806 0.204941457111438 0.178373102030324 0.20889330552835 0.198137702452098 0.184255621731111 0.19504320395196 0.171439812563011 0.170944118392469 0.202939475892936 0.182856743024271 0.185795334978908 0.148286709643482 0.174421540480099 0.176676837590145 0.188693392275615 0.185037418462343 0.200555247243621 0.236518498141868 0.13840898902967 0.2083389420419
"ichneu_ambarm_J" 0.206107875878932 0 0.122869316011082 0.118561147340336 0.0852508407273215 0.0920945344275378 0.115556886021874 0.092836162252587 0.0518707130142251 0.0715738377588111 0.1415161877966 0.0950164351760343 0.0744662483841894 0.0881435454588672 0.105314371761757 0.132928065003161 0.086539092676274 0.191235032833635 0.129609507192478 0.17134672958546 0.14544084337335 0.173836897722178 0.208137872338295 0.177226921623276 0.155364433806691 0.150709850057627 0.13536428617676 0.111349359414065 0.142575616304628 0.149110153843477 0.159380763861564 0.145472866130996 0.241840307349955 0.213403669748968 0.144159471584647 0.150612999279775 0.17076710215256 0.0873968875085191 0.136217170805089 0.246906274600851 0.11024053924455 0.192071917372558 0.159781702980401 0.145533227009561 0.186376375799515 0.151696700807312 0.159276672711298 0.144736166629808 0.171854893235202 0.163645768822738 0.188915826192896 0.157540367685245 0.175554708233302 0.164686412384156 0.121461443485481 0.150699864404803 0.130175051482321 0.211336782157615 0.132566649387367 0.175711824858376 0.174606784456655 0.162378693172358 0.194155423502597 0.175673302653399 0.137014065930356 0.148434285979452 0.169944612937124 0.207567238126433 0.153946885789823 0.162195212654376 0.1607014113315 0.172094729626379 0.169260813614038 0.175929677817902 0.178318667280351 0.158646988754114 0.186586885947998 0.178244347423014 0.177310680072225 0.105542097397846 0.116057118015357 0.116299530176733 0.166903121583139 0.166504128203346 0.103587654452013 0.112795559241111 0.162053632341444 0.146773808608914 0.128762779093303 0.127576311642482 0.115279139306525 0.101643646359722 0.0902284061978795 0.166576866910925 0.0967318858673612 0.143584794602948 0.110759752900124 0.141726902266537 0.135128865703362 0.133553435254392 0.167906891454298 0.160240936636124 0.147762259822299 0.18586451758976 0.117403246895121 0.170006684672603 0.150230046044502 0.148483560265354 0.168427976318197 0.165377846074781 0.149113068602778 0.140921223225826 0.10171277617745 0.124641475102665 0.121462071426628 0.139296348671611 0.104074489715222 0.164042424354825 0.168953406802239 0.159858486209552 0.181586173654673 0.178509448355483 0.136765172908078 0.137419713970514 0.148321726825142 0.153647615014778 0.159539843097449 0.159949128271261 0.152490472041861 0.153470862657568 0.148567188105794 0.134562703463106 0.152863373347784 0.126496976390638 0.11620274686868 0.175097542258574 0.100674065589812 0.0892600307056516 0.131557696610238 0.165905233810786 0.138499335876813 0.142048974958312 0.149983073382971 0.18279336506993 0.167310634405745 0.149054074467973 0.127573701732204
"ichneu_cercor_J" 0.204931816875692 0.122869316011082 0 0.144000190569189 0.0865037390007127 0.119900593862906 0.135285481308063 0.0845819509679283 0.121082522881825 0.119565827706453 0.0870235293853367 0.113029706037993 0.105297957372833 0.081816439147686 0.150655820179266 0.0882096112320616 0.11794296035015 0.180874205634541 0.150756388746703 0.133147466962545 0.153123593282644 0.176093467875136 0.203512817241407 0.172920504223991 0.193958293842942 0.186092796632672 0.179382179768986 0.150722677292681 0.163532837996632 0.164464504407191 0.179011581591488 0.153845276942353 0.237873797568682 0.202409175621131 0.153608558381036 0.146468233430204 0.147006761071505 0.10777990654527 0.161669620430577 0.237112802683682 0.162421699692918 0.174799932491776 0.165495624857239 0.106975414175222 0.213853518767069 0.168382887004006 0.117735464747173 0.15550125915049 0.17878817427652 0.181301883841633 0.170966349280788 0.170522748224414 0.156836810228582 0.156196238675944 0.115215896415776 0.151326873068088 0.139670312136424 0.219178934091177 0.160604868481937 0.190109937135317 0.1435625480759 0.142231589601235 0.219924638586759 0.182910475544794 0.101144936716685 0.0996059997708835 0.144781075800419 0.182519129012188 0.16975934793694 0.143969579353051 0.163515562255911 0.170564551227254 0.160334750033166 0.171966083640638 0.19777428356622 0.172461186967518 0.194199697095213 0.161016819639445 0.188530127229631 0.140245952577884 0.105204410446464 0.122736148270917 0.196231803482011 0.0825048865664186 0.122524259291017 0.101538225277407 0.132296102490739 0.2045876614711 0.143039509873781 0.115333503940989 0.111019741064651 0.120581415388505 0.106211616778093 0.128117212413406 0.136508601101676 0.0810246865400354 0.128017718929495 0.0975214403853034 0.119806113981389 0.120174995080661 0.108688859405383 0.112754373275059 0.11200149675765 0.117977707606788 0.10973602908284 0.115940283899514 0.0897853566271449 0.0919474482613716 0.111347056611462 0.120024474554723 0.0983896291179911 0.101720429183341 0.153567694400323 0.11931629338641 0.118980670442646 0.121243931629137 0.0838698731107073 0.104063287626996 0.11607085808709 0.110726387422277 0.127076385394333 0.150231898235585 0.0836065232303181 0.132739143077612 0.146269748713519 0.142052267186778 0.147281626024441 0.12440068903745 0.10948900710437 0.125403976233653 0.175957776531607 0.146828344860873 0.115927301514425 0.154607358544512 0.110773627309067 0.155796205895932 0.158304222097499 0.0967392160644969 0.156202749692263 0.18191415704774 0.159424563988242 0.157732175401236 0.100396603101383 0.151079401469299 0.1198104815895 0.138784755041038 0.109418259834368
"ichneu_clythy_J" 0.156584890053595 0.118561147340336 0.144000190569189 0 0.132690887164089 0.125569434464411 0.103904904168832 0.131050482567189 0.123289096459599 0.135875654482498 0.14872793937271 0.133637828103444 0.0960873887311046 0.148455440631183 0.0959700707050699 0.163364656285238 0.131285691076224 0.144126320365899 0.0988043343352661 0.154763244445763 0.111095458775196 0.11201112785794 0.151731241245592 0.124817930292251 0.113433504406629 0.111344138624546 0.0977477232940499 0.0782973028842647 0.0938603357828748 0.107279453094817 0.102221885408061 0.115001165181111 0.170702805119462 0.14403916785713 0.100034406768221 0.11608685532619 0.149972280311568 0.0902420203953837 0.106678635897578 0.185865570914024 0.0790060980853857 0.145359714294376 0.110652562728505 0.143665202855872 0.141273756802215 0.111920673447974 0.148263336274677 0.124352728595085 0.117263907605013 0.125700627234733 0.123007895477693 0.135769511921 0.141735861427413 0.131245342762785 0.117806206528516 0.0976429552671569 0.111913988939873 0.141982506578686 0.104872250836382 0.119204595045547 0.144284593203089 0.115856525626878 0.133330216415812 0.136949045774588 0.139149514951832 0.150776819421428 0.142874189464598 0.149882071127648 0.115103751564035 0.140795049593875 0.142589755699295 0.141865644955441 0.132279386366451 0.135027662060335 0.0994714589465315 0.089621269040514 0.123853069309838 0.132021083558165 0.121566707530383 0.103614825614521 0.105459626448957 0.111532524330681 0.11600233924533 0.176324514104526 0.119325353691887 0.11522289507023 0.157427169008666 0.106184148927683 0.102884026693542 0.0976339725432646 0.096124587858341 0.091684579693321 0.101723198242954 0.146058814671786 0.0701205904430869 0.161029820982439 0.129107223922884 0.137853784997977 0.14857904795774 0.11987716852666 0.149187564841129 0.161517891037231 0.150383302824656 0.1615032435049 0.141946109079097 0.166691236476299 0.157813557645721 0.156519335866607 0.147670399890672 0.157146606841554 0.18796256941061 0.125340985622965 0.0845688311531128 0.100862014028938 0.143445696313701 0.132560080865369 0.114166337961789 0.148719206981439 0.154527539276144 0.151858823116123 0.161419550435433 0.123095562889495 0.16689286184569 0.131424440889177 0.118247182478237 0.115351060082197 0.129543401110448 0.146442377636621 0.129685231010502 0.145250224270778 0.122930501408059 0.107689232183421 0.143856883208884 0.100948097977904 0.105230917217253 0.138573250165711 0.106785970393265 0.102384758250298 0.0982633067726547 0.114711422144003 0.0888855190162264 0.101752691289476 0.148335219131248 0.137857080468763 0.193034110077359 0.107772410214382 0.140694712477657
"ichneu_comver_J" 0.180847749013161 0.0852508407273215 0.0865037390007127 0.132690887164089 0 0.0972269149715797 0.119625529727584 0.081936973217097 0.0741866903702367 0.0691920590770889 0.10460375320102 0.0835213481977282 0.0754461008856555 0.0610710002518985 0.113587743664335 0.0990498561566699 0.107499191638555 0.166446569891425 0.133132717391954 0.14927025675503 0.138183310988402 0.164481956017736 0.200447196319285 0.156486143346393 0.158950739886585 0.155559322363531 0.146676987179826 0.128656950963192 0.140277937820366 0.153880956209705 0.160201294045483 0.140465734648269 0.218311498415296 0.19740147036505 0.126096975087104 0.139152063901555 0.144240269776158 0.0800010331151295 0.140292427766123 0.225193969221251 0.123014101750817 0.16498911044524 0.146300071173851 0.105765395333674 0.17298963810163 0.13823596065612 0.121914422856602 0.143693829188152 0.16461141512961 0.150316566860544 0.169497254185967 0.132899324787402 0.145105557458316 0.144268719508826 0.102984112812933 0.138303744455875 0.123735480031345 0.205328770468403 0.133804543799181 0.166626500935459 0.144181040835989 0.136847083042126 0.199890783965853 0.165611836807614 0.103500313776928 0.112980928636892 0.132728069410807 0.177874416919126 0.143452767155691 0.131015736760951 0.141329111934758 0.164532168591651 0.161782567642732 0.150219229306234 0.177928963796468 0.153318320603134 0.173143121376864 0.167393355769912 0.173677284905296 0.129087913385002 0.118861712452783 0.126826802767614 0.177637140096431 0.139120772307987 0.126611702562557 0.113643881430951 0.156967339184677 0.187659877614872 0.132698439432359 0.12492274315041 0.109539934474289 0.11816691084762 0.100930024349053 0.166114422906618 0.123578331381515 0.122058083975008 0.132346132170671 0.126201974257494 0.136775900354816 0.136430859314728 0.147448633540211 0.146125987915804 0.135530762114163 0.161143739936584 0.118619946582231 0.149725204711823 0.136548760902741 0.12997080648029 0.145155869830311 0.156362703562754 0.128421578550452 0.120238212627149 0.120778240647199 0.123049006851279 0.135949808810787 0.131588357087985 0.0882488915031227 0.127237989803529 0.137880061404027 0.130355608589646 0.14883497001403 0.164675110100059 0.119642755069173 0.14805543725722 0.148807628328523 0.156341557011213 0.152901134454382 0.142951454773388 0.123007378020796 0.149922466960116 0.170504814404951 0.152098152000065 0.13681572039437 0.144875505268213 0.115475911622735 0.160022800519909 0.129143282102453 0.0955673023509828 0.135785554368803 0.179501773480781 0.154896110306315 0.158314821249659 0.123133339222335 0.172889041118411 0.152397546554702 0.128816042686306 0.134003148017039
"ichneu_cotdir_J" 0.214723402068245 0.0920945344275378 0.119900593862906 0.125569434464411 0.0972269149715797 0 0.128013387762548 0.0908411596703336 0.0925170035877559 0.0977596190589692 0.124070657885002 0.105675126727574 0.0836378902876211 0.118990915694295 0.115685929072175 0.130210550977241 0.110078356773059 0.174275060396225 0.138994804117851 0.162072177373266 0.16293729744417 0.173873553407088 0.193535743485078 0.17914333250465 0.151401999906738 0.145148219692601 0.134023298952434 0.13417071642136 0.15828705222485 0.152601919935942 0.166135417372102 0.145918990465965 0.22842639921963 0.201783694660716 0.14520778847526 0.152480998417321 0.16554588307036 0.0987692913144079 0.154461818710403 0.232357987456863 0.125371134679456 0.178196022196962 0.161723947169749 0.151611664625914 0.192179359151867 0.15618221855631 0.157045506035449 0.154812455317761 0.179659491564435 0.170151711233291 0.189853024134095 0.167822286622327 0.170828638716206 0.16206875549663 0.132561292785745 0.148534287476133 0.143411821215958 0.197755740247425 0.136770629963969 0.170613666186882 0.161102091780876 0.151587071129369 0.190799071373237 0.175887700104108 0.141561406901082 0.161673701269736 0.175734058733871 0.194972835865447 0.150625944849865 0.151801247386327 0.171830093253864 0.173980619911601 0.16956023090653 0.167107834373532 0.183075317818373 0.148982699508248 0.192438254114712 0.183119374376132 0.159158333419922 0.10496998086653 0.123705308376874 0.122879926800163 0.162490594651622 0.158313467735853 0.118156897894171 0.133487185165228 0.164370540036029 0.168714507110184 0.126087815224154 0.116490339155041 0.118072699976608 0.118616791833705 0.0946693415294639 0.161208995504098 0.107181519421122 0.146182324779881 0.117098892187781 0.135023584985976 0.153816290366153 0.12254530624763 0.157857201066858 0.161271293410095 0.14294205213905 0.170389964647527 0.133693393028393 0.155365492849428 0.158873769558661 0.153487335175335 0.15318777654235 0.167160413173973 0.162298242824953 0.141237216857243 0.12557915849516 0.141962277904577 0.148046947908142 0.126512272513299 0.108277428004936 0.160331938875338 0.16893428641704 0.151110526882805 0.169456476801673 0.158918616005738 0.128606732249708 0.15348202837537 0.164225394569925 0.162913998722039 0.164045596558803 0.142095767637334 0.133495280140401 0.156601528309101 0.158101579307958 0.142875146146416 0.157929857785491 0.140491454231013 0.13026245956163 0.163876035549918 0.113661394255785 0.0977029115758633 0.144224033379022 0.167657513037839 0.131838404965329 0.149127745702821 0.16525007738279 0.170255211973357 0.165478898400021 0.14977434729094 0.151298581524736
"ichneu_crauni_J" 0.171600952412221 0.115556886021874 0.135285481308063 0.103904904168832 0.119625529727584 0.128013387762548 0 0.132605083247759 0.124247741402836 0.137185649031581 0.156922760026249 0.118520063032043 0.0947870662404916 0.115940273721456 0.106892969346961 0.167211503146064 0.0893588103927414 0.128424353784508 0.088817558081215 0.11991333316368 0.102946524056504 0.110510537212471 0.133090531523979 0.123127836405567 0.114335696137696 0.118236829658497 0.0987281762916775 0.0866094996208701 0.0980497591956818 0.108115062303267 0.100535536521514 0.0808802185786863 0.17355706972093 0.140599085843425 0.0989859003591129 0.107812286753563 0.111212050937938 0.0827940049446497 0.0829936152527691 0.168064776550489 0.0959055443879138 0.129416908670559 0.106403715178689 0.125998729105208 0.151463064558454 0.134985691633467 0.135298122248176 0.0943311468716534 0.107416380554704 0.119784368146892 0.127196239032364 0.109437223630189 0.126710018671677 0.13514414068086 0.0777595234844412 0.100149246474851 0.106691039646228 0.146801165766485 0.0795137880692637 0.118088535782592 0.128629344871524 0.103901479012728 0.138411512855542 0.107138576061015 0.128180712024628 0.123068770144718 0.130735927267011 0.151847369950465 0.10996313475349 0.116225630768284 0.111530962896539 0.107981738159772 0.117241100787168 0.119352369192207 0.12585950031313 0.109047870882033 0.124779661883686 0.127032617066334 0.135415784026856 0.0833135365553573 0.114510266819259 0.093759758700402 0.127057549617557 0.171480460730618 0.119492284796425 0.133180154660571 0.170592626536357 0.150851050662073 0.0832464945053021 0.0989050570052431 0.110540769200615 0.0765923677321043 0.0952882722424753 0.166858110594515 0.0921356479543131 0.161241238107479 0.0886634212041908 0.138299702049099 0.122931187639661 0.121803004799056 0.143392322571585 0.170775493280036 0.159935162876707 0.16227732808465 0.148321880604676 0.160781359168401 0.155628649287383 0.155699386020252 0.144809061982603 0.157425657968658 0.175905419578074 0.118338613336402 0.0870275953216519 0.112840851273602 0.13336702084917 0.150617381744161 0.113106499501383 0.15844592968391 0.146048511902523 0.163092174565259 0.174992728164585 0.136611888168071 0.15483292833193 0.135611915409851 0.113711624068399 0.138816476097066 0.15802778376714 0.152081955767588 0.129389308658079 0.156265060463404 0.124944401401007 0.105107061989628 0.154907015727082 0.0932778546259469 0.0960445793520017 0.166289265261996 0.0923559085264661 0.120065532395731 0.0897710869738751 0.103160716208746 0.0956930128638119 0.108640754863845 0.141067542987114 0.140655377998223 0.161421384832701 0.117743469871777 0.130420558124625
"ichneu_ctesch_J" 0.197782435743899 0.092836162252587 0.0845819509679283 0.131050482567189 0.081936973217097 0.0908411596703336 0.132605083247759 0 0.0827253942140564 0.0961772612202008 0.104302513027734 0.0751090010181607 0.0997638395750117 0.0919795021413977 0.132538255056465 0.0992074575457823 0.107677868815302 0.168155206483633 0.124582308667945 0.135116861866713 0.140998956192147 0.17154978774032 0.205286638081792 0.163915905946411 0.168490181312833 0.159286316412284 0.155490082342718 0.121552489241632 0.143934704948053 0.14641185850398 0.164088099553979 0.14487418781674 0.235006648116319 0.204138496826481 0.145198393156196 0.132943915106635 0.166375253943843 0.0904802947327853 0.143215041520663 0.232958812925319 0.130266667003859 0.170823290022817 0.152623910527551 0.115179217983038 0.184286792697101 0.155123176637013 0.130526695072993 0.141039792215906 0.173150362595828 0.159789463887183 0.167534806276757 0.161075078093757 0.155819431339919 0.139913187792948 0.106140609516249 0.136583449408509 0.117681881337912 0.206762835603548 0.137253024652567 0.174271506115521 0.141450941332665 0.140240010100771 0.195010079316189 0.176188958830338 0.106935399319186 0.119902693256466 0.152724354961674 0.187121230771997 0.148655157551109 0.151523094852816 0.156347391043194 0.172100284769131 0.15007503910638 0.166186214822781 0.190411259226005 0.152185758301893 0.186144090001542 0.154617943805882 0.161845728291986 0.107148170049037 0.0789228937177537 0.104542356669316 0.166580468974138 0.109669846730516 0.0900721024506917 0.0856384953823164 0.12952026661047 0.168956001930913 0.123891573188282 0.103002108087539 0.0986731863371573 0.101304468589916 0.0852370284939687 0.123072446068999 0.105380213236064 0.100862304652776 0.110656782823885 0.103838023479553 0.117486796326407 0.0916915584069381 0.118905572030286 0.111104592697567 0.100072299686327 0.136041905330748 0.0804074608171339 0.119209129099181 0.107609020685864 0.111456585762916 0.121666673959954 0.115070812795237 0.114415263381127 0.10573644232478 0.120359255358518 0.1110161563392 0.102475603739442 0.0995188620200677 0.0838129749998816 0.131491264376116 0.131945601930791 0.113231271066113 0.144209574056345 0.15201858357476 0.0809930278302279 0.117566465779545 0.13262056940998 0.139580609483251 0.135222581685773 0.119955450124427 0.115555642560463 0.10796940917569 0.157337408895199 0.13266035494641 0.121531337585614 0.126009902169057 0.100918902401625 0.154284959488005 0.118427328340408 0.0720602578409975 0.132144922293929 0.160943619007524 0.138484059937762 0.145858178146311 0.119043937523003 0.15708928697182 0.12081546901845 0.126823751210053 0.114261064745539
"ichneu_eccbre_J" 0.197461150291734 0.0518707130142251 0.121082522881825 0.123289096459599 0.0741866903702367 0.0925170035877559 0.124247741402836 0.0827253942140564 0 0.0718677038695332 0.132501828637661 0.0940373548806418 0.0834566428685343 0.0899514527056303 0.110767148076414 0.128122056328257 0.10834852389523 0.184341519984257 0.130753308924602 0.170476185203083 0.145330004147913 0.177811805713306 0.217783973798053 0.173333393766372 0.153688205197358 0.160447657564907 0.140137797799867 0.115886348928236 0.143608675018266 0.154457595983503 0.164045670474811 0.148814380733874 0.238366927017236 0.213022299586761 0.142184523718907 0.149509456294598 0.174474508893498 0.0917706700506216 0.143346545743785 0.244560815377559 0.112937492682678 0.186422272417909 0.157706382778049 0.139183789842 0.180659591682153 0.155629154001851 0.150664336304735 0.146938730857254 0.172438159194699 0.162026021876412 0.186236980493376 0.151085765532998 0.173109774459038 0.15954872537418 0.12231732479108 0.149500818481075 0.130195069437901 0.215815897574951 0.139506638952048 0.172873431599679 0.168752289584446 0.162765766042446 0.198758240174682 0.181409384467013 0.121457214432505 0.142266206911598 0.157551487779486 0.202350220146373 0.154969697591505 0.158833086042246 0.156121783041257 0.182763026792841 0.172206560218035 0.170635098745709 0.179346171463298 0.160636363469286 0.186967178882796 0.181317039088084 0.179551158570048 0.11723903221599 0.11693758984244 0.131782055991077 0.176616870535981 0.164489300492788 0.1116405123668 0.113609234123291 0.162107338229909 0.157068842766541 0.136707360209686 0.131391594377366 0.117336982069202 0.113731745624707 0.105563208415947 0.169263788270736 0.106203550271063 0.146519586187216 0.122105929344459 0.144319669170857 0.145327206077291 0.134535001750266 0.163467435428662 0.158686672084711 0.145321653985686 0.186384903275401 0.114210297370232 0.171356383604938 0.152014580713647 0.149233874213329 0.169362703310613 0.160365218328167 0.152876759767196 0.137228933070551 0.104671078186141 0.122761217544966 0.13247420099158 0.13940927791506 0.107533940646595 0.159278573721664 0.163448468419201 0.154060363892991 0.175211925293402 0.183595169077987 0.135215345347486 0.139811469102181 0.146482314986891 0.156120935880075 0.15135929497707 0.161213473500188 0.151715145982461 0.1538476031462 0.151334408107765 0.144737957738376 0.14570147517969 0.132177667286872 0.121535290780327 0.174452243088547 0.113054909490392 0.0872563271702214 0.131709640132027 0.173039133326078 0.15024471350311 0.154912610510854 0.144176722765474 0.185811259017637 0.174762971874133 0.147999650016126 0.136998092999692
"ichneu_eurtor_J" 0.20905484222294 0.0715738377588111 0.119565827706453 0.135875654482498 0.0691920590770889 0.0977596190589692 0.137185649031581 0.0961772612202008 0.0718677038695332 0 0.12054965546576 0.0929140249052022 0.0893132777761683 0.0875077674127712 0.0939267657074211 0.116675546464774 0.112268771210005 0.189947413706324 0.153248551253282 0.185737418080013 0.162377166299586 0.18665393373759 0.221582127009368 0.180153538929477 0.174321459067677 0.15179936893933 0.155784106542263 0.135404561555466 0.160077618499064 0.176277973750139 0.180156327342722 0.163298442118932 0.240934036772219 0.224652341409096 0.147378344644763 0.168986871297255 0.178156334024023 0.0948950209721517 0.151110474765103 0.249188401715999 0.128649254529503 0.197557117547569 0.169660329521826 0.150034675666743 0.182137368394379 0.145395916127558 0.164236188718105 0.172885856386565 0.187688225735001 0.166256285052263 0.194422145911044 0.154847441189878 0.1762271258785 0.172855559109803 0.132702465785552 0.158852558613693 0.144999224327324 0.218752133954568 0.15116448183642 0.187067684596646 0.177662989984617 0.170698777495173 0.206747205190596 0.186890258457648 0.14684999936208 0.15868068740138 0.167964443001315 0.212092759491613 0.161499695123153 0.159610468665145 0.171510589962133 0.191311252670737 0.1916309730324 0.179182583241913 0.1863145131196 0.166941358276285 0.188792087843654 0.196677244216319 0.190496788648799 0.138265522375742 0.135537674230303 0.132776359930999 0.178970691063061 0.164424703367387 0.142046638021962 0.131906054167613 0.171883313381239 0.178643877838574 0.148511623227372 0.145777969183048 0.126965408497801 0.135710014891496 0.113443329800356 0.180140861828605 0.1181010364904 0.147544614403328 0.146311443079601 0.148008737421081 0.154832614172948 0.157378665200171 0.183122473755887 0.172089926593598 0.155658990661409 0.193153999526618 0.133573757589418 0.178462549383457 0.163642225408499 0.153787209753059 0.174619081462863 0.177186896646224 0.152441369107299 0.156158319207069 0.133175915703623 0.144342938890805 0.152940231056618 0.15216497502605 0.113228181569291 0.15669710624458 0.170599229207433 0.159784776640036 0.181057935691674 0.186637126965761 0.142320130708298 0.164465889956984 0.17793491269857 0.173537672572569 0.174507232343773 0.16673603562003 0.155135598807087 0.170596404211895 0.184042654553125 0.16849877994414 0.165348719336481 0.162994129543423 0.141884262415472 0.170080588041627 0.133432500269751 0.109261698886713 0.157870585826039 0.193823553546079 0.162982044860498 0.172154501047698 0.156438212023774 0.201312782175793 0.178336257504272 0.153423132706296 0.154633496689664
